"Shop By","Filter"
"Now Shopping by","Filter"
"Shop By","Filter"
"Shopping Options","Filter"
"Configuration Magenio Italian Fiscal Data","Configurazione Magenio Fiscal Data"
"Module Version: x","Versione Modulo: 2.1.0"
"Magenio Italian Fiscal Data","Magenio Italian Fiscal Data - 2.1.0"
"Enable Module","Modul freigeben"
"Wrapping fields in invoice request","Felder in die Rechnungsanforderung einbinden"
"Enable Checkbox "You want Invoice"?","Aktivieren Sie das Checkbox "Sie möchten eine Rechnung"?"
"Mode","Modus"
"Custom Label for label select Mode","Benutzerdefiniertes Etikett für Etikettenauswahlmodus"
"General Tax Code Configurations","Allgemeine Steuerkennzeichen-Konfigurationen"
"Tax Code Always Visibile","Steuernummer immer sichtbar"
"Show Tax Code above all fiscaldata fields and out of the checkbox invoice area","Anzeige des Steuerkennzeichens über allen Steuerdatenfeldern und außerhalb der Checkbox im Rechnungsbereich"
"Fiscal Code Required for specific Countries","Für bestimmte Länder erforderliche Steuernummer"
"Countries for Fiscal Code Required","Länder für die Steuernummer erforderlich"
"Comments under Tax Code Fields","Hinweis unter dem Feld Steuerkennzeichen"
"Private Configuration","Private Konfiguration"
"Tax Code Required","Steuernummer erforderlich"
"Tax Code Validation","Versteckte Steuernummer"
"Company Configuration","Firma Konfiguration"
"Tax Code Hidden","Codice Fiscale nascosto"
"Tax Vat Required","MwSt.-Nummer erforderlich"
"Validation VAT Number","Mehrwertsteuer-Validierung"
"Company Required","Versteckter Steuercode"
"Fattura Elettronica Configuration","Konfiguration der elektronischen Rechnungsstellung"
"Fatt. Elettr. Fields Enabled","Felder für elektronische Rechnungen aktivieren"
"Fatt. Elettr. Fields Required","Obligatorische Felder für elektronische Rechnungen"
"It is mandatory to enter at least one field.","Mindestens ein Feld ist obligatorisch."
"Custom Label for select option "email_pec"","Individuelles Etikett für die PEC-E-Mail-Option"
"Custom Label for select option "cod_sdi"","Kundenspezifisches Etikett für die Option CodicE SDI"
"Fatt. Elettronica retricted for specific Countries","Elektronische Rechnungen nur für bestimmte Länder sichtbar"
"Countries for Fatt. Elettronica","Paesi per la Fatt. Elettronica"
"Enable checkbox for exclude same subjects","Aktivieren Sie die Checkbox zum Ausschließen gleicher Themen"
"Text for fatt. elettr. description","Text, der den Ausschluss der elektronischen Rechnung beschreibt"
"Text below the checkbox for exclusion","Text unter der Checkbox für den Ausschluss"
"Configuration for Validations","Konfiguration für Validierungen"
"Enable Server-side validation","Server-seitige Validierung aktivieren"
"Enable Sintax Check for Tax Code","Sintax-Prüfung für Steuerkennzeichen einschalten"
"You want invoice?","Sie wünschen eine Rechnung?"
"Yes","Ja"
"No","Nein"
"Invoice Checkout Form","Fakturierung"
"Tax Code","Steuernummer"
"Company","Firma"
"Vat ID","MwSt.-Nr."
"Your card details are protected using PCI DSS v3.2 security standards.","Ihre Kartendaten werden durch die PCI DSS v3.2 Sicherheitsstandards geschützt."
"Enter your card details:","Geben Sie Ihre Kartendaten ein:"
